,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
366,richards bay,-28.783,32.0377,19.26,64,20,8.28,ZA,1627409340
367,gorontalo,0.5412,123.0595,22.79,90,57,1.44,ID,1627409685
368,glyadyanskoye,54.9075,65.0883,15.13,76,83,4.17,RU,1627409695
369,sioux lookout,50.1001,-91.917,26.54,31,0,3.25,CA,1627409228
370,iwaki,37.05,140.8833,24.45,82,87,3.58,JP,1627409695
371,berbera,10.4396,45.0143,33.77,38,74,10.14,SO,1627409695
372,diapaga,12.0708,1.7889,25.55,76,100,3.07,BF,1627409696
373,meylan,45.2199,5.7901,26.96,63,86,1.03,FR,1627409696
374,ornskoldsvik,63.2909,18.7153,24.9,43,0,2.57,SE,1627409696
375,vila velha,-20.3297,-40.2925,25.97,69,20,6.69,BR,1627409211
376,zabaykalsk,49.6333,117.3167,15.31,84,3,1.61,RU,1627409697
377,zandvoort,52.3749,4.5341,18.97,80,40,5.14,NL,1627409697
378,saulkrasti,57.2622,24.4147,20.97,95,100,5.0,LV,1627409697
379,los llanos de aridane,28.6585,-17.9182,22.29,78,40,9.77,ES,1627409698
380,eyl,7.9803,49.8164,28.23,59,100,8.17,SO,1627409399
381,beloha,-25.1667,45.05,16.23,70,46,4.58,MG,1627409496
382,liku,-0.7275,119.8922,23.77,88,77,1.48,ID,1627409698
383,pasighat,28.0667,95.3333,26.36,87,98,1.34,IN,1627409699
384,guerrero negro,27.9769,-114.0611,25.84,55,0,4.89,MX,1627409426
385,yerbogachen,61.2767,108.0108,18.47,67,5,2.34,RU,1627409449
386,kawalu,-7.3817,108.2082,20.39,93,45,0.39,ID,1627409699
387,pimentel,-6.8367,-79.9342,24.16,79,0,2.68,PE,1627409699
388,altay,47.8667,88.1167,19.12,61,2,2.38,CN,1627409700
389,cowra,-33.8333,148.6833,12.37,61,77,6.39,AU,1627409700
390,agadez,19.75,10.25,34.26,29,62,1.53,NE,1627409491
391,katsuura,35.1333,140.3,25.62,85,78,6.69,JP,1627409336
392,sao filipe,14.8961,-24.4956,24.17,77,53,3.41,CV,1627409417
393,lasa,46.6166,10.7002,19.41,88,72,2.09,IT,1627409701
394,sobolevo,54.4299,31.8996,19.73,73,100,3.09,RU,1627409701
395,sao gabriel da cachoeira,-0.1303,-67.0892,32.98,44,76,1.65,BR,1627409702
396,erzin,36.9559,36.2,29.4,66,0,2.54,TR,1627409702
397,brainerd,46.358,-94.2008,29.14,61,20,2.58,US,1627409423
398,north platte,41.1239,-100.7654,34.45,42,1,0.89,US,1627409704
399,kaa-khem,51.6833,94.7333,18.27,77,83,1.67,RU,1627409704
400,saint-augustin,51.226,-58.6502,18.82,84,97,4.14,CA,1627409383
401,riyadh,24.6877,46.7219,41.08,11,25,1.93,SA,1627409581
402,sangre grande,10.5835,-61.1177,29.96,85,42,3.49,TT,1627409704
403,samarai,-10.6167,150.6667,25.87,84,83,5.16,PG,1627409410
404,abu zabad,12.35,29.25,25.48,74,100,3.64,SD,1627409705
405,usak,38.5,29.4167,24.76,37,0,6.17,TR,1627409705
406,sembakung,3.8167,117.25,23.98,98,92,0.88,ID,1627409706
407,golfito,8.639,-83.166,28.74,71,65,2.42,CR,1627409706
408,vetlanda,57.4289,15.0776,15.93,98,100,1.25,SE,1627409684
409,odweyne,9.4092,45.064,22.78,50,98,8.74,SO,1627409706
410,san nicolas,18.1725,120.5953,26.49,91,100,6.84,PH,1627409707
411,bethel,41.3712,-73.414,32.67,54,1,2.06,US,1627409338
412,superior,46.7208,-92.1041,24.9,71,90,3.6,US,1627409708
413,fort smith,35.3859,-94.3986,35.21,60,40,2.24,US,1627409708
414,lock haven,41.137,-77.4469,32.77,45,0,2.46,US,1627409709
415,corumba,-19.0092,-57.6533,17.95,63,90,5.14,BR,1627409709
416,faanui,-16.4833,-151.75,25.5,74,47,4.15,PF,1627409354
417,ede,52.0333,5.6583,19.49,91,90,4.12,NL,1627409710
418,jiupu,41.0667,122.95,23.35,81,39,0.37,CN,1627409710
419,kudahuvadhoo,2.6708,72.8944,27.91,74,99,4.07,MV,1627409710
420,kralendijk,12.15,-68.2667,27.22,81,73,6.68,BQ,1627409711
421,vanimo,-2.6741,141.3028,25.05,92,72,2.95,PG,1627409346
422,millbrook,32.4799,-86.3619,33.63,73,40,3.09,US,1627409711
423,ewa beach,21.3156,-158.0072,27.97,60,1,6.71,US,1627409712
424,nouadhibou,20.931,-17.0347,20.87,87,2,12.48,MR,1627409693
425,bremen,53.0752,8.8078,19.89,74,20,2.06,DE,1627409652
426,yumen,40.2833,97.2,25.36,23,34,4.05,CN,1627409485
427,yabelo,4.8833,38.0833,18.04,52,97,3.03,ET,1627409712
428,fort nelson,58.8053,-122.7002,20.73,51,15,0.99,CA,1627409456
429,te anau,-45.4167,167.7167,6.52,93,74,2.24,NZ,1627409222
430,geraldton,-28.7667,114.6,15.63,72,90,2.57,AU,1627409394
431,batagay,67.6333,134.6333,5.24,82,11,2.18,RU,1627409713
432,odessa,46.4775,30.7326,23.96,64,0,2.0,UA,1627409713
433,sambava,-14.2667,50.1667,21.1,78,44,5.61,MG,1627409447
434,padang,-0.9492,100.3543,25.24,89,18,1.51,ID,1627409221
435,avera,33.194,-82.5271,33.73,46,45,2.0,US,1627409388
436,constitucion,-35.3333,-72.4167,12.05,51,0,4.62,CL,1627409418
437,meulaboh,4.1363,96.1285,25.15,90,38,1.9,ID,1627409395
438,kentville,45.0835,-64.4988,25.54,73,46,6.87,CA,1627409692
439,maldonado,-34.6667,-54.9167,8.66,63,59,9.27,UY,1627409667
440,cururupu,-1.8283,-44.8683,30.12,57,32,3.35,BR,1627409331
441,bambanglipuro,-7.95,110.2833,23.2,85,36,2.04,ID,1627409715
442,bapatla,15.9,80.4667,30.6,58,91,3.99,IN,1627409715
443,pachino,36.7186,15.0907,32.02,64,0,5.71,IT,1627409715
444,booue,-0.0921,11.9385,26.48,60,96,1.26,GA,1627409716
445,touros,-5.1989,-35.4608,24.5,66,9,7.39,BR,1627409448
446,mount gambier,-37.8333,140.7667,10.76,89,96,8.75,AU,1627409716
447,waipawa,-41.4122,175.5153,5.02,89,9,1.58,NZ,1627409717
448,maniitsoq,65.4167,-52.9,9.08,83,100,6.99,GL,1627409717
449,omboue,-1.5746,9.2618,23.92,78,70,3.32,GA,1627409717
450,barentu,15.1139,37.5928,22.61,81,97,1.44,ER,1627409718
451,yantai,37.5333,121.4,24.79,85,99,2.47,CN,1627409459
452,tambura,5.6,27.4667,19.59,98,91,0.89,SS,1627409718
453,iquitos,-3.7481,-73.2472,32.02,58,75,2.06,PE,1627409718
454,labuhan,-6.8844,112.2051,23.12,86,38,3.2,ID,1627409719
455,san felipe,10.3399,-68.7425,27.66,82,65,1.51,VE,1627409719
456,midleton,51.9153,-8.1805,19.88,63,95,5.23,IE,1627409719
457,ornes,66.8689,13.7078,28.39,56,11,1.58,NO,1627409720
458,mange,8.9167,-12.85,25.16,93,88,2.66,SL,1627409720
459,banda aceh,5.5577,95.3222,26.82,83,61,5.42,ID,1627409463
460,gadung,6.8025,124.02,26.2,79,98,2.25,PH,1627409720
461,mityana,0.4175,32.0228,22.77,73,30,1.02,UG,1627409721
462,eugene,44.0521,-123.0867,25.29,58,75,0.89,US,1627409463
463,dunkwa,5.9656,-1.78,25.2,74,100,1.21,GH,1627409722
464,ust-ilimsk,58.0006,102.6619,19.25,57,6,1.32,RU,1627409722
465,bismarck,46.8083,-100.7837,30.91,51,1,6.17,US,1627409454
466,tolaga bay,-38.3667,178.3,7.9,82,27,3.42,NZ,1627409723
467,big rapids,43.6981,-85.4837,28.28,47,1,4.63,US,1627409723
468,saskylakh,71.9167,114.0833,12.06,70,24,6.37,RU,1627409344
469,port-cartier,50.0334,-66.8654,20.12,84,100,1.49,CA,1627409378
470,norsup,-16.0667,167.3833,24.52,83,98,6.46,VU,1627409723
471,kismayo,-0.3582,42.5454,24.41,80,60,8.18,SO,1627409724
472,hofn,64.2539,-15.2082,13.09,77,96,2.23,IS,1627409390
473,virginia beach,36.8529,-75.978,33.38,69,75,4.12,US,1627409489
474,dembi dolo,8.5333,34.8,13.15,97,86,1.33,ET,1627409724
475,sorong,-0.8833,131.25,26.32,88,100,3.6,ID,1627409449
476,yuzawa,39.1667,140.5,19.61,95,48,1.26,JP,1627409725
477,mazamet,43.49,2.373,28.17,61,0,4.63,FR,1627409725
478,chapais,49.7834,-74.8492,14.72,46,78,3.0,CA,1627409446
479,manitouwadge,49.1215,-85.8403,23.88,33,2,1.65,CA,1627409725
480,ferme-neuve,46.7001,-75.4493,16.88,46,79,1.74,CA,1627409726
481,marystown,47.1666,-55.1483,19.36,100,100,2.68,CA,1627409726
482,kharp,66.8014,65.8081,9.62,91,99,5.08,RU,1627409726
483,port hueneme,34.1478,-119.1951,37.89,81,90,4.12,US,1627409727
484,redlands,34.0556,-117.1825,36.63,51,1,0.89,US,1627409727
485,springbok,-29.6643,17.8865,8.69,68,0,2.01,ZA,1627409727
486,log,49.4844,43.8613,23.34,35,93,2.67,RU,1627409728
487,tuatapere,-46.1333,167.6833,9.34,87,77,2.28,NZ,1627409117
488,buraydah,26.326,43.975,39.25,12,24,5.42,SA,1627409728
489,port augusta,-32.5,137.7667,15.08,69,75,5.84,AU,1627409728
490,kalmunai,7.4167,81.8167,28.43,68,94,1.16,LK,1627409729
491,hervey bay,-25.2986,152.8535,15.02,70,31,2.43,AU,1627409443
492,santa cruz del norte,23.1539,-81.9236,30.41,62,59,1.92,CU,1627409729
493,pacifica,37.6138,-122.4869,30.29,79,40,1.79,US,1627409729
494,lima,-12.0432,-77.0282,18.41,77,90,3.09,PE,1627409601
495,kyra,49.5776,111.9753,12.74,90,76,1.04,RU,1627409730
496,yankton,42.8711,-97.3973,34.14,49,1,2.06,US,1627409730
497,izalco,13.7447,-89.6731,31.24,51,56,2.09,SV,1627409731
498,wohlen,47.3524,8.2788,22.9,82,100,1.34,CH,1627409731
499,xai-xai,-25.0519,33.6442,16.94,69,1,2.96,MZ,1627409499
500,jimo,36.3897,120.4622,26.88,69,0,4.0,CN,1627409731
501,wamba,8.9333,8.6,21.56,86,94,1.85,NG,1627409732
502,bulawayo,-20.15,28.5833,11.43,37,0,3.71,ZW,1627409732
503,morros,-9.4467,-46.3003,35.03,21,0,1.12,BR,1627409732
504,merritt island,28.5392,-80.672,35.64,67,75,2.57,US,1627409733
505,prieska,-29.6641,22.7474,13.26,34,0,4.71,ZA,1627409733
506,tatarsk,55.219,75.9828,14.49,57,99,2.84,RU,1627409734
507,qeshm,26.9581,56.2719,34.93,63,62,4.3,IR,1627409734
508,emerald,-23.5333,148.1667,11.66,58,4,3.51,AU,1627409422
509,myaundzha,63.0494,147.1858,5.07,88,98,0.91,RU,1627409537
510,sogne,58.0833,7.8167,20.39,1,93,3.13,NO,1627409734
511,worthing,50.8145,-0.3713,19.82,71,40,2.68,GB,1627409735
512,tiznit,29.5833,-9.5,25.55,55,0,3.4,MA,1627409213
513,gold coast,-28.0,153.4333,12.94,93,2,4.15,AU,1627409446
514,laguna,38.421,-121.4238,29.28,29,1,1.54,US,1627409393
515,moree,-29.4667,149.85,10.01,71,0,5.14,AU,1627409735
516,knysna,-34.0363,23.0471,13.21,91,7,1.0,ZA,1627409736
517,otane,-39.8833,176.6333,7.44,95,25,1.86,NZ,1627409736
518,poltava,49.5937,34.5407,23.63,41,9,1.79,UA,1627409736
519,staunton,38.1496,-79.0717,34.73,40,40,2.06,US,1627409737
520,araouane,18.9048,-3.5265,40.88,16,97,5.15,ML,1627409737
521,shemursha,54.8866,47.5189,16.78,72,66,3.44,RU,1627409737
522,nyurba,63.2842,118.3319,17.0,79,61,1.43,RU,1627409738
523,moron,-34.6534,-58.6198,11.12,52,3,2.68,AR,1627409738
524,quelimane,-17.8786,36.8883,20.97,83,40,1.54,MZ,1627409738
525,pandan,14.0453,124.1694,28.39,75,92,8.21,PH,1627409739
526,nyakabindi,-2.6333,33.9833,22.11,40,61,2.19,TZ,1627409739
527,njeru,0.4186,33.1731,19.34,70,70,1.98,UG,1627409739
528,tucuma,-0.1833,-50.05,29.56,61,15,2.47,BR,1627409739
529,sheltozero,61.3667,35.3667,17.28,72,23,1.5,RU,1627409740
530,tabou,4.423,-7.3528,25.58,73,100,4.77,CI,1627409740
531,oranjestad,12.524,-70.027,31.97,66,40,6.69,AW,1627409136
532,hualmay,-11.0964,-77.6139,20.79,72,44,4.29,PE,1627409437
533,pacasmayo,-7.4006,-79.5714,22.09,72,35,6.5,PE,1627409449
534,erice,38.037,12.5865,27.22,57,0,3.09,IT,1627409741
535,pershotravneve,51.3929,28.8684,20.19,88,74,3.0,UA,1627409741
536,alghero,40.5589,8.3181,29.05,61,0,4.12,IT,1627409742
537,bonfim,3.0833,-59.95,31.33,57,12,2.67,BR,1627409742
538,bayir,37.2687,28.2167,32.29,22,0,3.33,TR,1627409742
539,atasu,48.6814,71.6433,17.88,37,3,4.84,KZ,1627409743
540,rognan,67.0953,15.3878,23.92,69,30,0.86,NO,1627409743
541,raudeberg,61.9875,5.1352,21.88,94,100,4.39,NO,1627409743
542,hebi,35.8992,114.1925,24.58,93,100,3.46,CN,1627409744
543,abashiri,44.0213,144.2697,19.3,96,37,4.8,JP,1627409744
544,quzhou,28.9594,118.8686,24.24,96,85,1.69,CN,1627409744
545,flinders,-34.5833,150.8552,15.21,62,100,1.79,AU,1627409745
546,miles city,46.4083,-105.8406,34.54,22,1,0.0,US,1627409589
547,rio grande,-32.035,-52.0986,11.06,44,23,9.41,BR,1627409469
548,coihaique,-45.5752,-72.0662,8.97,53,0,1.54,CL,1627409333
549,shitanjing,39.2342,106.3439,20.48,51,55,2.63,CN,1627409745
550,vidim,56.4088,103.1106,18.06,52,1,1.2,RU,1627409409
551,maragogi,-9.0122,-35.2225,25.8,75,18,4.43,BR,1627409746
552,bastia,42.6667,9.3333,28.89,90,75,5.14,FR,1627409746
553,brae,60.3964,-1.353,12.95,83,80,2.33,GB,1627409746
554,sorland,67.667,12.6934,19.04,89,7,5.87,NO,1627409747
555,taber,49.8167,-112.1518,32.58,13,100,5.18,CA,1627409579
556,karatau,43.1667,70.4667,23.85,27,0,3.15,KZ,1627409747
557,wetaskiwin,52.9668,-113.3687,22.66,57,0,2.85,CA,1627409705
558,taoudenni,22.6783,-3.9836,45.38,4,6,5.41,ML,1627409337
559,ponta delgada,37.7333,-25.6667,22.4,88,75,6.17,PT,1627409748
560,westminster,39.8367,-105.0372,33.43,29,1,1.79,US,1627409748
561,ayorou,14.7308,0.9174,34.02,41,99,4.79,NE,1627409748
562,lipari,38.4674,14.954,30.53,72,0,0.79,IT,1627409749
563,husavik,66.0449,-17.3389,9.95,99,100,5.02,IS,1627409734
564,scarborough,54.2797,-0.4044,21.41,79,100,0.45,GB,1627409749
565,taltal,-25.4,-70.4833,16.36,67,0,3.08,CL,1627409438
566,barranca,-10.75,-77.7667,20.45,71,43,4.39,PE,1627409750
567,fuling,29.7022,107.3919,23.99,95,44,1.62,CN,1627409750
568,bundaberg,-24.85,152.35,15.12,91,75,0.89,AU,1627409751
569,samarkand,39.6542,66.9597,28.68,23,0,6.17,UZ,1627409751
570,hutchinson,38.0608,-97.9298,33.97,46,1,0.45,US,1627409749
571,hovd,48.0056,91.6419,18.7,62,48,1.56,MN,1627409435
572,amuntai,-2.4177,115.2494,23.79,91,99,0.92,ID,1627409752
573,alamosa,37.4695,-105.87,27.59,43,1,1.54,US,1627409752
574,petropavlovsk-kamchatskiy,53.0452,158.6483,16.33,88,75,1.0,RU,1627409752
575,kapoeta,4.7717,33.5903,24.76,65,93,4.23,SS,1627409753
576,hamada,34.8833,132.0833,25.56,91,63,1.65,JP,1627409753
577,kembe,4.6228,21.8865,21.84,86,66,1.61,CF,1627409753
578,launceston,-41.45,147.1667,11.56,92,75,1.79,AU,1627409311
579,ilo,-17.6394,-71.3375,15.48,88,90,3.09,PE,1627409754
580,were ilu,10.6,39.4333,13.25,85,90,0.29,ET,1627409754
581,gizo,-8.103,156.8419,27.51,76,93,3.08,SB,1627409444
582,nacala,-14.5428,40.6728,21.87,65,38,5.35,MZ,1627409755
583,marzuq,14.4,46.4667,25.16,71,85,3.85,YE,1627409251
584,sisimiut,66.9395,-53.6735,14.15,56,92,10.34,GL,1627409755
585,kelo,9.3086,15.8066,20.82,97,100,1.42,TD,1627409755
586,esna,25.2934,32.554,35.4,17,22,5.23,EG,1627409756
587,cayenne,4.9333,-52.3333,30.05,76,90,2.68,GF,1627409443
588,eureka,40.8021,-124.1637,12.92,91,100,1.62,US,1627409518
589,san ramon,37.7799,-121.978,29.07,46,1,0.45,US,1627409557
590,dom pedrito,-30.9828,-54.6731,9.51,41,1,6.28,BR,1627409757
591,grand gaube,-20.0064,57.6608,19.65,82,67,2.68,MU,1627409462
592,mandalgovi,45.7625,106.2708,18.02,63,98,3.08,MN,1627409757
593,thaba nchu,-29.2093,26.839,3.88,37,3,2.77,ZA,1627409757
594,vilyuysk,63.7553,121.6247,14.25,63,79,1.48,RU,1627409758
595,san pedro,14.35,121.0167,27.86,89,99,8.45,PH,1627409397
596,gua musang,4.8823,101.9644,23.01,97,43,0.61,MY,1627409758
